Provincia,Pob_tot
ABANCAY,108099
ACOBAMBA,80881
ACOMAYO,28299
AIJA,7935
ALTO AMAZONAS,124667
AMBO,58816
ANDAHUAYLAS,171027
ANGARAES,65064
ANTA,57547
ANTABAMBA,13628
ANTONIO RAIMONDI,16722
AREQUIPA,1013958
ASCOPE,126501
ASUNCION,8969
ATALAYA,56274
AYABACA,145166
AYMARAES,33575
AZANGARO,142201
BAGUA,77743
BARRANCA,155450
BELLAVISTA,62040
BOLIVAR,17512
BOLOGNESI,33510
BONGARA,34265
CANIETE,247825
CAJABAMBA,80970
CAJAMARCA,391602
CAJATAMBO,8307
CALCA,75852
CALLAO,1067815
CAMANA,62159
CANAS,40160
CANCHIS,104447
CANDARAVE,8472
CANGALLO,35257
CANTA,16057
CARABAYA,99142
CARAVELI,44261
CARHUAZ,48029
CARLOS FERMIN FITZCARRALD,22268
CASMA,48441
CASTILLA,40954
CASTROVIRREYNA,19710
CAYLLOMA,98856
CELENDIN,96474
CHACHAPOYAS,55760
CHANCHAMAYO,209942
CHEPEN,91422
CHICLAYO,884672
CHINCHA,226200
CHINCHEROS,59731
CHOTA,166137
CHUCUITO,156156
CHUMBIVILCAS,84255
CHUPACA,54611
CHURCAMPA,45853
CONCEPCION,58128
CONDESUYOS,19726
CONDORCANQUI,55541
CONTRALMIRANTE VILLAR,20826
CONTUMAZA,32173
CORONEL PORTILLO,395182
CORONGO,8317
COTABAMBAS,53692
CUSCO,460325
CUTERVO,141848
DANIEL ALCIDES CARRION,55164
DATEM DEL MARAÑON,66420
DOS DE MAYO,54788
EL COLLAO,88437
EL DORADO,42461
ESPINAR,70697
FERREÑAFE,109982
GENERAL SANCHEZ CERRO,29493
GRAN CHIMU,32844
GRAU,27184
HUACAYBAMBA,23472
HUALGAYOC,103242
HUALLAGA,26649
HUAMALIES,77590
HUAMANGA,289270
HUANCA SANCOS,10788
HUANCABAMBA,130647
HUANCANE,67372
HUANCAVELICA,163147
HUANCAYO,517701
HUANTA,113291
HUANUCO,319322
HUARAL,202510
HUARAZ,170026
HUARI,64301
HUARMEY,31361
HUAROCHIRI,86781
HUAURA,232834
HUAYLAS,57560
HUAYTARA,23670
ICA,376899
ILO,73623
ISLAY,55218
JAEN,200754
JAUJA,86213
JORGE BASADRE,9463
JULCAN,32707
JUNIN,26215
LA CONVENCION,183904
LA MAR,91778
LA UNION,15544
LAMAS,89363
LAMBAYEQUE,306066
LAMPA,53549
LAURICOCHA,39728
LEONCIO PRADO,141949
LIMA,9455277
LORETO,73861
LUCANAS,70965
LUYA,52350
MANU,26352
MARAÑON,33012
MARISCAL CACERES,53255
MARISCAL LUZURIAGA,24218
MARISCAL NIETO,84825
MARISCAL RAMON CASTILLA,75605
MAYNAS,571859
MELGAR,80014
MOHO,26470
MORROPON,160770
MOYOBAMBA,155918
NAZCA,61076
OCROS,11001
OTUZCO,96391
OXAPAMPA,95838
OYON,24198
PACASMAYO,109234
PACHITEA,74015
PADRE ABAD,62052
PAITA,133970
PALLASCA,31169
PALPA,12749
PARINACOCHAS,34689
PARURO,31170
PASCO,161775
PATAZ,94221
PAUCAR DEL SARA SARA,11462
PAUCARTAMBO,52210
PICOTA,46855
PISCO,141041
PIURA,788948
POMABAMBA,29966
PUERTO INCA,32299
PUNO,258180
PURUS,4682
PUTUMAYO,12274
QUISPICANCHI,91530
RECUAY,19717
REQUENA,76764
RIOJA,135091
RODRIGUEZ DE MENDOZA,31504
SAN ANTONIO DE PUTINA,71977
SAN IGNACIO,149670
SAN MARCOS,54949
SAN MARTIN,197129
SAN MIGUEL,56201
SAN PABLO,23492
SAN ROMAN,305305
SANCHEZ CARRION,162170
SANDIA,73320
SANTA,447259
SANTA CRUZ,45592
SANTIAGO DE CHUCO,64971
SATIPO,282558
SECHURA,78019
SIHUAS,31123
SUCRE,12511
SULLANA,327526
TACNA,332273
TAHUAMANU,15105
TALARA,136850
TAMBOPATA,108724
TARATA,8106
TARMA,111097
TAYACAJA,110792
TOCACHE,76034
TRUJILLO,1005395
TUMBES,172159
UCAYALI,76381
URUBAMBA,65977
UTCUBAMBA,119878
VICTOR FAJARDO,24401
VILCAS HUAMAN,24222
VIRU,123021
YAROWILCA,34143
YAULI,43385
YAUYOS,29128
YUNGAY,59864
YUNGUYO,49282
ZARUMILLA,55892
