FID,ALTURA,PROVINCIA,DEPARTAMENTO
0,100,ALTO AMAZONAS,LORETO
1,100,ASCOPE,LA LIBERTAD
2,100,ATALAYA,UCAYALI
3,100,AYABACA,PIURA
4,100,BARRANCA,LIMA
5,100,CALLAO,CALLAO
6,100,CAMANA,AREQUIPA
7,100,CAÑETE,LIMA
8,100,CARAVELI,AREQUIPA
9,100,CASMA,ANCASH
10,100,CAYLLOMA,AREQUIPA
11,100,CHEPEN,LA LIBERTAD
12,100,CHICLAYO,LAMBAYEQUE
13,100,CHINCHA,ICA
14,100,CONTRALMIRANTE VILLAR,TUMBES
15,100,CONTUMAZA,CAJAMARCA
16,100,CORONEL PORTILLO,UCAYALI
17,100,DATEM DEL MARAÑON,LORETO
18,100,FERREÑAFE,LAMBAYEQUE
19,100,HUANCABAMBA,PIURA
20,100,HUARAL,LIMA
21,100,HUARMEY,ANCASH
22,100,HUAURA,LIMA
23,100,ICA,ICA
24,100,ILO,MOQUEGUA
25,100,ISLAY,AREQUIPA
26,100,JORGE BASADRE,TACNA
27,100,LAMAS,SAN MARTIN
28,100,LAMBAYEQUE,LAMBAYEQUE
29,100,LIMA,LIMA
30,100,LORETO,LORETO
31,100,MARISCAL RAMON CASTILLA,LORETO
32,100,MAYNAS,LORETO
33,100,MORROPON,PIURA
34,100,NAZCA,ICA
35,100,OCROS,ANCASH
36,100,PACASMAYO,LA LIBERTAD
37,100,PADRE ABAD,UCAYALI
38,100,PAITA,PIURA
39,100,PICOTA,SAN MARTIN
40,100,PISCO,ICA
41,100,PIURA,PIURA
42,100,PUERTO INCA,HUANUCO
43,100,PUIRA,PIURA
44,100,PURUS,UCAYALI
45,100,REQUENA,LORETO
46,100,SAN MARTIN,SAN MARTIN
47,100,SANTA,ANCASH
48,100,SECHURA,PIURA
49,100,SULLANA,PIURA
50,100,TACNA,TACNA
51,100,TALARA,PIURA
52,100,TAMBOPATA,MADRE DE DIOS
53,100,TRUJILLO,LA LIBERTAD
54,100,TUMBES,TUMBES
55,100,UCAYALI,LORETO
56,100,VIRU,LA LIBERTAD
57,100,ZARUMILLA,TUMBES
58,100,CONDORCANQUI,AMAZONAS
59,300,ALTO AMAZONAS,LORETO
60,300,AREQUIPA,AREQUIPA
61,300,ASCOPE,LA LIBERTAD
62,300,ATALAYA,UCAYALI
63,300,AYABACA,PIURA
64,300,BAGUA,AMAZONAS
65,300,BARRANCA,LIMA
66,300,BELLAVISTA,SAN MARTIN
67,300,CALLAO,CALLAO
68,300,CAMANA,AREQUIPA
69,300,CAÑETE,LIMA
70,300,CARABAYA,PUNO
71,300,CARAVELI,AREQUIPA
72,300,CASMA,ANCASH
73,300,CASTILLA,AREQUIPA
74,300,CAYLLOMA,AREQUIPA
75,300,CHEPEN,LA LIBERTAD
76,300,CHICLAYO,LAMBAYEQUE
77,300,CHINCHA,ICA
78,300,CHOTA,CAJAMARCA
79,300,CONDESUYOS,AREQUIPA
80,300,CONTRALMIRANTE VILLAR,TUMBES
81,300,CONTUMAZA,CAJAMARCA
82,300,CORONEL PORTILLO,UCAYALI
83,300,DATEM DEL MARAÑON,LORETO
84,300,EL DORADO,SAN MARTIN
85,300,FERREÑAFE,LAMBAYEQUE
86,300,GRAN CHIMU,LA LIBERTAD
87,300,HUALLAGA,SAN MARTIN
88,300,HUANCABAMBA,PIURA
89,300,HUARAL,LIMA
90,300,HUARMEY,ANCASH
91,300,HUAROCHIRI,LIMA
92,300,HUAURA,LIMA
93,300,ICA,ICA
94,300,ILO,MOQUEGUA
95,300,ISLAY,AREQUIPA
96,300,JAEN,CAJAMARCA
97,300,JORGE BASADRE,TACNA
98,300,LA CONVENCION,CUSCO
99,300,LAMAS,SAN MARTIN
100,300,LAMBAYEQUE,LAMBAYEQUE
101,300,LIMA,LIMA
102,300,LORETO,LORETO
103,300,MANU,MADRE DE DIOS
104,300,MARISCAL CACERES,SAN MARTIN
105,300,MAYNAS,LORETO
106,300,MORROPON,PIURA
107,300,NAZCA,ICA
108,300,OCROS,ANCASH
109,300,OXAPAMPA,PASCO
110,300,PACASMAYO,LA LIBERTAD
111,300,PADRE ABAD,UCAYALI
112,300,PAITA,PIURA
113,300,PALPA,ICA
114,300,PICOTA,SAN MARTIN
115,300,PISCO,ICA
116,300,PIURA,PIURA
117,300,PUERTO INCA,HUANUCO
118,300,PUIRA,PIURA
119,300,PURUS,UCAYALI
120,300,QUISPICANCHI,CUSCO
121,300,REQUENA,LORETO
122,300,SAN MARTIN,SAN MARTIN
123,300,SAN MIGUEL,CAJAMARCA
124,300,SANDIA,PUNO
125,300,SANTA,ANCASH
126,300,SANTA CRUZ,CAJAMARCA
127,300,SATIPO,JUNIN
128,300,SECHURA,PIURA
129,300,SULLANA,PIURA
130,300,TACNA,TACNA
131,300,TAHUAMANU,MADRE DE DIOS
132,300,TALARA,PIURA
133,300,TAMBOPATA,MADRE DE DIOS
134,300,TOCACHE,SAN MARTIN
135,300,TRUJILLO,LA LIBERTAD
136,300,TUMBES,TUMBES
137,300,UCAYALI,LORETO
138,300,UTCUBAMBA,AMAZONAS
139,300,VIRU,LA LIBERTAD
140,300,ZARUMILLA,TUMBES
141,300,CONDORCANQUI,AMAZONAS
142,500,ALTO AMAZONAS,LORETO
143,500,AREQUIPA,AREQUIPA
144,500,ASCOPE,LA LIBERTAD
145,500,ATALAYA,UCAYALI
146,500,AYABACA,PIURA
147,500,BAGUA,AMAZONAS
148,500,BARRANCA,LIMA
149,500,BELLAVISTA,SAN MARTIN
150,500,BONGARA,AMAZONAS
151,500,CALLAO,CALLAO
152,500,CAMANA,AREQUIPA
153,500,CANTA,LIMA
154,500,CAÑETE,LIMA
155,500,CARABAYA,PUNO
156,500,CARAVELI,AREQUIPA
157,500,CASMA,ANCASH
158,500,CASTILLA,AREQUIPA
159,500,CAYLLOMA,AREQUIPA
160,500,CHANCHAMAYO,JUNIN
161,500,CHEPEN,LA LIBERTAD
162,500,CHICLAYO,LAMBAYEQUE
163,500,CHINCHA,ICA
164,500,CHOTA,CAJAMARCA
165,500,CONDESUYOS,AREQUIPA
166,500,CONTRALMIRANTE VILLAR,TUMBES
167,500,CONTUMAZA,CAJAMARCA
168,500,CORONEL PORTILLO,UCAYALI
169,500,CUTERVO,CAJAMARCA
170,500,DATEM DEL MARAÑON,LORETO
171,500,EL DORADO,SAN MARTIN
172,500,FERREÑAFE,LAMBAYEQUE
173,500,GENERAL SANCHEZ CERRO,MOQUEGUA
174,500,GRAN CHIMU,LA LIBERTAD
175,500,HUALLAGA,SAN MARTIN
176,500,HUANCABAMBA,PIURA
177,500,HUANTA,AYACUCHO
178,500,HUARAL,LIMA
179,500,HUARAZ,ANCASH
180,500,HUARMEY,ANCASH
181,500,HUAROCHIRI,LIMA
182,500,HUAURA,LIMA
183,500,ICA,ICA
184,500,ILO,MOQUEGUA
185,500,ISLAY,AREQUIPA
186,500,JAEN,CAJAMARCA
187,500,JORGE BASADRE,TACNA
188,500,LA CONVENCION,CUSCO
189,500,LA MAR,AYACUCHO
190,500,LAMAS,SAN MARTIN
191,500,LAMBAYEQUE,LAMBAYEQUE
192,500,LEONCIO PRADO,HUANUCO
193,500,LIMA,LIMA
