Codigo,Provincia,menores_14 ,porcen_menores_14,adultos_entre_15-64,p_adultos_entre_15-64,mayores_65,p_mayores_65,Total
0101,"Amazonas, provincia: Chachapoyas",15683.00,0.26,39359.00,0.65,5375.00,0.09,60419.00
0102,"Amazonas, provincia: Bagua",27662.00,0.34,49741.00,0.61,4790.00,0.06,82193.00
0103,"Amazonas, provincia: Bongara",7721.00,0.29,17109.00,0.63,2253.00,0.08,27085.00
0104,"Amazonas, provincia: Condorcanqui",23458.00,0.47,25374.00,0.51,967.00,0.02,49800.00
0105,"Amazonas, provincia: Luya",15090.00,0.31,28146.00,0.58,4904.00,0.10,48140.00
0106,"Amazonas, provincia: Rodríguez de Mendoza",9962.00,0.31,19213.00,0.60,2958.00,0.09,32130.00
0107,"Amazonas, provincia: Utcubamba",36534.00,0.31,72738.00,0.62,8326.00,0.07,117598.00
0201,"Áncash, provincia: Huaraz",44628.00,0.26,114675.00,0.66,15230.00,0.09,174534.00
0202,"Áncash, provincia: Aija",1817.00,0.27,3897.00,0.59,927.00,0.14,6639.00
0203,"Áncash, provincia: Antonio Raymondi",4920.00,0.34,7756.00,0.54,1686.00,0.12,14360.00
0204,"Áncash, provincia: Asunción",2213.00,0.28,4516.00,0.57,1143.00,0.15,7873.00
0205,"Áncash, provincia: Bolognesi",6476.00,0.26,15421.00,0.62,3046.00,0.12,24940.00
0206,"Áncash, provincia: Carhuaz",12803.00,0.27,30204.00,0.63,5065.00,0.11,48072.00
0207,"Áncash, provincia: Carlos Fermín Fitzcarrald",5827.00,0.31,10325.00,0.55,2663.00,0.14,18816.00
0208,"Áncash, provincia: Casma",14956.00,0.28,33720.00,0.63,4436.00,0.08,53115.00
0209,"Áncash, provincia: Corongo",2195.00,0.28,4654.00,0.58,1125.00,0.14,7974.00
0210,"Áncash, provincia: Huari",17768.00,0.29,37932.00,0.61,6578.00,0.11,62278.00
