"PROVINCIA","ElevacionPromedio","IDH_2019","FallMasc_2ola_mill_hab","FallFem_2ola_mill_hab","CasosMasc_2ola_mill_hab","CasosFem_2ola_mill_hab","Adult_15_64_mill_hab","Mayores_65_mill_hab","Pobreza_mill_hab","PobrezaExt_mill_hab","UCI_2ola_cant_hosp","UCIN_2ola_cant_hosp","VENT_2ola_cant_hosp"
"ABANCAY",3100,0.52,2294.19328578433,1581.88327366581,6429.29166782301,9805.82614085237,691505.009297033,85662.2170417858,265579.330058557,84670.1634612716,11,74.6666666666667,13
"ACOBAMBA",3300,0.31,729.466747443775,284.368393071302,1088.01819957716,1224.0204745243,303371.620034372,44262.5585737071,247370.705109976,94642.3758361049,0,6,0
"ACOMAYO",3800,0.3,706.738754019577,424.043252411746,1908.19463585286,1696.17300964698,512915.650729708,96929.2201137849,386451.818085445,134761.652355207,0,2,0
"AIJA",2800,0.37,1386.26339004411,504.095778197858,2142.40705734089,3780.71833648393,491115.311909263,116824.196597354,323040.957781979,130509.13673598,0,0,0
"ALTO AMAZONAS",1200,0.44,737.965941267537,481.282135609263,3128.33388146021,3425.12453175259,616666.800356149,54577.3941780904,441580.209678584,253656.059743156,4.5,15.5,3.5
"AMBO",3300,0.38,1377.17627856366,731.093579978237,1156.14798694233,1139.14581066376,552961.779107726,96079.2981501632,357757.242927095,239162.642818281,0,0,0
"ANDAHUAYLAS",3000,0.42,1274.65254024218,976.454010185526,4250.79081080765,5747.63049109205,537657.796722155,75841.8261444099,360261.01141925,132971.460646565,3.25,27.75,4.75
"ANGARAES",3600,0.33,845.321529570884,461.084470675028,2566.70355342432,2720.39837698266,474210.00860691,66795.7703184557,422513.678839297,147335.700233616,0,23,3
"ANTA",3714.285714,0.39,1720.33294524476,1164.26573062019,3058.36968043512,3631.81399551671,670877.717344084,105131.457764957,340408.535631744,67750.5343458391,0,0,0
"ANTABAMBA",4000,0.32,2201.35016143235,807.161725858527,7044.32051658351,4842.97035515116,514455.532726739,113296.154975051,312918.990314059,267847.079542119,0,0,0
"ANTONIO RAYMONDI",3300,0.32,717.617509867241,777.418969022844,1255.83064226767,538.213132400431,463820.11721086,100825.260136347,400240.999880397,207455.447912929,0,0,0
"AREQUIPA",3010.714286,0.67,2523.77317403679,1631.23127387919,5605.75487347602,4838.46470958363,766670.808850071,96056.2469056904,77898.956367029,10833.0917059681,6.54545454545455,67.0454545454545,7.18181818181818
"ASCOPE",1300,0.58,1715.401459277,1130.425846436,956.514177753535,1201.57152907882,601742.278717164,102347.017019628,229693.678310843,19376.5266677734,0.25,17.25,0.25
"ASUNCION",4218.75,0.39,1003.45634964879,1003.45634964879,3902.33024863418,4794.291448322,503512.097223771,127438.956405396,314144.274724049,73448.544988293,0,0,0
"ATALAYA",1100,0.33,781.888616412553,390.944308206276,1279.45409958418,1137.29253296371,546007.036997548,27863.667057611,404005.046735615,77308.5261399581,14,26,4
"AYABACA",2000,0.25,847.305842965984,440.87458495791,1770.38700522161,1949.49230536076,482702.561205792,79433.2006117135,587302.536406597,312919.347505614,0,2,0
"AYMARAES",3500,0.36,1429.63514519732,655.249441548771,4586.7460908414,2531.64556962025,447565.152643336,117110.94564408,310590.915860015,136032.762472077,0,0,0
"AZANGARO",4500,0.32,752.456030548308,407.873362353289,1434.58906758743,984.521909128628,501473.266714017,88986.7159865261,396521.402803075,179600.706042855,0,11,0
"BAGUA",1900,0.46,1157.66049676498,720.322086875989,5569.63327888041,5402.41565156992,639813.230773189,61613.264216714,440002.82983677,291307.899103456,3,41.5,6
"BARRANCA",1400,0.63,2676.10164039884,1582.50241235124,4528.78739144419,9482.14860083628,642444.515921518,97883.5638468961,128686.522997748,8355.61273721454,2.66666666666667,42.3333333333333,2
"BELLAVISTA",1300,0.42,999.355254674404,870.406189555126,2369.43907156673,2337.20180528691,566827.852998066,50064.4745325596,327254.190844616,69444.3907156673,0,46,0
"BOLIVAR",2700,0.29,799.45180447693,285.518501598904,1598.90360895386,1770.2147099132,497316.12608497,71265.4179990863,538492.462311558,422327.546825034,0,13,0
"BOLOGNESI",3211.538462,0.45,1074.30617726052,865.413309459863,4685.16860638615,6535.36257833483,460190.987764846,90898.2393315428,207831.393613847,36739.7791703969,0,0,0
"BONGARA",2100,0.41,846.344666569386,408.580183861083,3005.98278126368,2597.4025974026,499314.16897709,65752.2253027871,285219.320005837,92156.4278418211,0,0,0
"CAJABAMBA",2700,0.35,1037.42126713598,617.51265900951,2445.35012967766,3643.32468815611,571705.569964184,83240.7064344819,582829.566506113,474936.396196122,0,21,0
"CAJAMARCA",2500,0.54,1453.00585798847,832.477872942426,3324.80426555533,3618.46977288165,609629.164304574,66539.4967339288,346342.434410447,162141.996210438,9.66666666666667,36.4444444444444,10.3333333333333
"CAJATAMBO",3312,0.38,1324.18442277597,361.141206211629,3129.89045383412,5055.9768869628,480678.945467678,132899.963885879,297054.291561334,154129.04779102,0,0,0
"CALCA",3200,0.39,685.545536043875,421.874176027,1331.54036808522,1700.68027210884,581461.266677213,74988.1347887992,343746.90186152,74114.0642303433,0,0,0
"CALLAO",300,0.64,2879.71230971657,1678.19332000393,2844.12562101113,6147.13222796084,658949.349840562,81432.6451679364,181411.20887045,5369.72228335433,12.0769230769231,104.846153846154,14.0769230769231
"CAMANA",1300,0.62,3201.46720507087,2075.32296208111,9781.36713911099,10328.351485706,663234.608021365,75950.3853022089,139487.765247189,13789.7971331585,8,57,0
"CANAS",4300,0.26,1070.7171314741,622.509960159363,1494.02390438247,1518.92430278884,535059.760956175,92380.4780876494,512696.962151394,102860.806772908,0,0,0
"CANCHIS",4523.076923,0.47,1933.99523203156,1273.37309831781,4681.80033892788,4691.37457274982,643809.779122426,87460.6259634073,309939.203615231,49172.5947131081,0,45,2
"CANDARAVE",3714.285714,0.37,354.107648725212,472.143531633617,3305.00472143532,1888.57412653447,501416.430594901,111779.981114259,232744.33427762,122492.917847025,0,0,0
"CANGALLO",3800,0.33,1077.80015316107,368.721105028789,2807.95303060385,3743.93737413847,547692.656777378,114587.174178177,500828.204328219,335519.754942281,0,29,0
"CANIETE",1900,0.68,2707.55573489357,1646.32301018864,1965.09633814183,2146.67608191264,655821.648340563,80835.2668213457,149978.371834964,8901.16009280742,4.75,72,5.5
"CANTA",2900,0.57,1370.11895123622,685.059475618111,3861.24431712026,5293.64140250358,491685.869091362,105250.046708601,128965.560191817,30795.2917730585,0,0,0
"CARABAYA",3010.714286,0.34,595.106009562042,302.596276048496,2128.26047487442,2299.73169796857,506465.473764903,43452.825240564,334699.320167033,103938.794859898,6,23,6
"CARAVELI",2400,0.62,2146.35909717358,1445.96823388536,9466.57328121823,9556.94629583606,651747.588170172,70129.45934344,104238.720318113,17632.9048146224,0,0,0
