"PROVINCIA","Axis1","Axis2","Axis3","cluster","Indice","ElevacionPromedio","IDH_2019","FallMasc_2ola_mill_hab","FallFem_2ola_mill_hab","CasosMasc_2ola_mill_hab","CasosFem_2ola_mill_hab","Adult_15_64_mill_hab","Mayores_65_mill_hab","Pobreza_mill_hab","PobrezaExt_mill_hab","UCI_2ola_cant_hosp","UCIN_2ola_cant_hosp","VENT_2ola_cant_hosp"
"ABANCAY",-4.17600392586218,1.4825609240114,0.736595633946385,6,-2.76589414812284,3100,0.52,2294.19328578433,1581.88327366581,6429.29166782301,9805.82614085237,691505.009297033,85662.2170417858,265579.330058557,84670.1634612716,11,74.6666666666667,13
"ACOBAMBA",2.55539258372517,0.687483394718419,-0.339298464221597,2,2.0899111266369,3300,0.31,729.466747443775,284.368393071302,1088.01819957716,1224.0204745243,303371.620034372,44262.5585737071,247370.705109976,94642.3758361049,0,6,0
"ACOMAYO",2.29403460197467,-0.439449741253124,0.817142669917668,2,1.61285251748039,3800,0.3,706.738754019577,424.043252411746,1908.19463585286,1696.17300964698,512915.650729708,96929.2201137849,386451.818085445,134761.652355207,0,2,0
"AIJA",1.37731960060258,-1.01561015814258,0.631659853459516,3,0.781003442747573,2800,0.37,1386.26339004411,504.095778197858,2142.40705734089,3780.71833648393,491115.311909263,116824.196597354,323040.957781979,130509.13673598,0,0,0
"ALTO AMAZONAS",0.665959441970666,1.83276890239492,-0.708936728996881,1,0.956727414514051,1200,0.44,737.965941267537,481.282135609263,3128.33388146021,3425.12453175259,616666.800356149,54577.3941780904,441580.209678584,253656.059743156,4.5,15.5,3.5
"AMBO",1.69430863135693,-0.491921285089033,1.20868481045078,2,1.1495019067975,3300,0.38,1377.17627856366,731.093579978237,1156.14798694233,1139.14581066376,552961.779107726,96079.2981501632,357757.242927095,239162.642818281,0,0,0
"ANDAHUAYLAS",-0.227558288145388,0.422906361324588,0.0097646081628418,3,-0.0654630243062012,3000,0.42,1274.65254024218,976.454010185526,4250.79081080765,5747.63049109205,537657.796722155,75841.8261444099,360261.01141925,132971.460646565,3.25,27.75,4.75
"ANGARAES",1.76404349640407,0.559463328761231,0.206456162287634,2,1.46386309421216,3600,0.33,845.321529570884,461.084470675028,2566.70355342432,2720.39837698266,474210.00860691,66795.7703184557,422513.678839297,147335.700233616,0,23,3
"ANTA",0.0861067390959956,-1.52222355196506,1.19237524098411,3,-0.314687866856118,3714.285714,0.39,1720.33294524476,1164.26573062019,3058.36968043512,3631.81399551671,670877.717344084,105131.457764957,340408.535631744,67750.5343458391,0,0,0
"ANTABAMBA",0.963797832856582,-1.98374799566624,0.297147508169613,3,0.229271799594333,4000,0.32,2201.35016143235,807.161725858527,7044.32051658351,4842.97035515116,514455.532726739,113296.154975051,312918.990314059,267847.079542119,0,0,0
"ANTONIO RAYMONDI",2.47645193742888,-0.33544827199729,1.09339370039789,2,1.77572868258667,3300,0.32,717.617509867241,777.418969022844,1255.83064226767,538.213132400431,463820.11721086,100825.260136347,400240.999880397,207455.447912929,0,0,0
"AREQUIPA",-4.41790245071308,0.0826206354073823,1.48568600863934,6,-3.2963757426076,3010.714286,0.67,2523.77317403679,1631.23127387919,5605.75487347602,4838.46470958363,766670.808850071,96056.2469056904,77898.956367029,10833.0917059681,6.54545454545455,67.0454545454545,7.18181818181818
"ASCOPE",-0.789016556370895,-0.452114118132615,1.05400138316953,3,-0.70506074161786,1300,0.58,1715.401459277,1130.425846436,956.514177753535,1201.57152907882,601742.278717164,102347.017019628,229693.678310843,19376.5266677734,0.25,17.25,0.25
"ASUNCION",0.897334904927183,-1.9212788266379,0.942046582095876,3,0.194938645805211,4218.75,0.39,1003.45634964879,1003.45634964879,3902.33024863418,4794.291448322,503512.097223771,127438.956405396,314144.274724049,73448.544988293,0,0,0
"ATALAYA",0.347906198243611,3.89543320653529,-0.282486005272839,1,1.23194705558189,1100,0.33,781.888616412553,390.944308206276,1279.45409958418,1137.29253296371,546007.036997548,27863.667057611,404005.046735615,77308.5261399581,14,26,4
"AYABACA",3.185097460757,0.572398752124385,-0.0478936808548047,2,2.53401505858004,2000,0.25,847.305842965984,440.87458495791,1770.38700522161,1949.49230536076,482702.561205792,79433.2006117135,587302.536406597,312919.347505614,0,2,0
"AYMARAES",1.41878272732961,-1.38643672171941,0.61722569813141,3,0.719724312562663,3500,0.36,1429.63514519732,655.249441548771,4586.7460908414,2531.64556962025,447565.152643336,117110.94564408,310590.915860015,136032.762472077,0,0,0
"AZANGARO",2.49293087880655,-0.250741861676097,1.15371008096277,2,1.80920985396791,4500,0.32,752.456030548308,407.873362353289,1434.58906758743,984.521909128628,501473.266714017,88986.7159865261,396521.402803075,179600.706042855,0,11,0
"BAGUA",-0.282308676740506,1.38049876944953,-0.665821944329392,1,0.132061592148917,1900,0.46,1157.66049676498,720.322086875989,5569.63327888041,5402.41565156992,639813.230773189,61613.264216714,440002.82983677,291307.899103456,3,41.5,6
"BARRANCA",-3.43326480125444,-1.07333291737434,-0.0875801384600479,5,-2.84517168709096,1400,0.63,2676.10164039884,1582.50241235124,4528.78739144419,9482.14860083628,642444.515921518,97883.5638468961,128686.522997748,8355.61273721454,2.66666666666667,42.3333333333333,2
"BELLAVISTA",0.235312651470799,0.962303012357108,-0.443764963164976,1,0.416478060617066,1300,0.42,999.355254674404,870.406189555126,2369.43907156673,2337.20180528691,566827.852998066,50064.4745325596,327254.190844616,69444.3907156673,0,46,0
"BOLIVAR",3.31641211304873,0.788578560602668,0.11314908263183,2,2.68647803906151,2700,0.29,799.45180447693,285.518501598904,1598.90360895386,1770.2147099132,497316.12608497,71265.4179990863,538492.462311558,422327.546825034,0,13,0
"BOLOGNESI",0.21439956367713,-1.328774839931,-0.520802728276728,3,-0.170158247891206,3211.538462,0.45,1074.30617726052,865.413309459863,4685.16860638615,6535.36257833483,460190.987764846,90898.2393315428,207831.393613847,36739.7791703969,0,0,0
"BONGARA",1.22107831543958,0.147582239251391,-0.629104756440502,2,0.953563962673687,2100,0.41,846.344666569386,408.580183861083,3005.98278126368,2597.4025974026,499314.16897709,65752.2253027871,285219.320005837,92156.4278418211,0,0,0
